measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,1,Global,2,Female,22,All ages,411,Esophageal cancer,2,Percent,1996,0.005121611280115097,0.005593269853863676,0.0035418545190856114
1,Deaths,1,Global,1,Male,22,All ages,411,Esophageal cancer,3,Rate,1996,8.326919864480882,9.050233087266662,6.447121190564509
1,Deaths,1,Global,2,Female,22,All ages,411,Esophageal cancer,3,Rate,1996,3.997427814176004,4.404213211687235,2.793527207118259
1,Deaths,1,Global,1,Male,22,All ages,414,Stomach cancer,2,Percent,1996,0.01871491875989459,0.01958544998425644,0.017928874652644002
1,Deaths,1,Global,2,Female,22,All ages,414,Stomach cancer,2,Percent,1996,0.013682809722715586,0.014478183855818077,0.012936329989230319
1,Deaths,1,Global,1,Male,22,All ages,414,Stomach cancer,3,Rate,1996,16.8684602353326,17.82148863289818,16.061983358122305
1,Deaths,1,Global,2,Female,22,All ages,414,Stomach cancer,3,Rate,1996,10.678870686009532,11.3808378756429,10.036943973181485
1,Deaths,67,Japan,1,Male,22,All ages,411,Esophageal cancer,2,Percent,1996,0.016977008684229553,0.017311459295016197,0.016436441465848658
1,Deaths,67,Japan,2,Female,22,All ages,411,Esophageal cancer,2,Percent,1996,0.004001322634598594,0.00422063872525455,0.0035731695587151056
1,Deaths,67,Japan,1,Male,22,All ages,411,Esophageal cancer,3,Rate,1996,13.22259080838245,13.480311729416217,12.79089465849778
1,Deaths,67,Japan,2,Female,22,All ages,411,Esophageal cancer,3,Rate,1996,2.5326912221151985,2.673381889690833,2.2633578843432445
1,Deaths,67,Japan,1,Male,22,All ages,414,Stomach cancer,2,Percent,1996,0.07050753950048076,0.0719351329395891,0.0675245680843408
1,Deaths,67,Japan,2,Female,22,All ages,414,Stomach cancer,2,Percent,1996,0.047928800868303964,0.05026670074175239,0.043013595110685005
1,Deaths,67,Japan,1,Male,22,All ages,414,Stomach cancer,3,Rate,1996,54.91504136023942,56.07708572185587,52.60039239049534
1,Deaths,67,Japan,2,Female,22,All ages,414,Stomach cancer,3,Rate,1996,30.33721415256989,31.841850934717517,27.250918896270058
1,Deaths,349,Greenland,1,Male,22,All ages,411,Esophageal cancer,2,Percent,1998,0.016733239377388045,0.01876223184785844,0.014289799948175546
1,Deaths,349,Greenland,2,Female,22,All ages,411,Esophageal cancer,2,Percent,1998,0.011059078696155045,0.012567530242150595,0.008790741816652754
1,Deaths,349,Greenland,1,Male,22,All ages,411,Esophageal cancer,3,Rate,1998,13.73754852562344,16.19362882432643,11.182303681069092
1,Deaths,349,Greenland,2,Female,22,All ages,411,Esophageal cancer,3,Rate,1998,8.976060298872921,10.568610961858619,7.009984067192882
1,Deaths,349,Greenland,1,Male,22,All ages,414,Stomach cancer,2,Percent,1998,0.0186197316748331,0.02050285541759968,0.0165426203732043
1,Deaths,349,Greenland,2,Female,22,All ages,414,Stomach cancer,2,Percent,1998,0.010938018557771363,0.012175519406252458,0.009904620231089466
1,Deaths,349,Greenland,1,Male,22,All ages,414,Stomach cancer,3,Rate,1998,15.28834973369006,17.93690340844781,13.138158907664778
1,Deaths,349,Greenland,2,Female,22,All ages,414,Stomach cancer,3,Rate,1998,8.876988849566658,10.266750443433379,7.616526257972805
1,Deaths,8,Taiwan (Province of China),1,Male,22,All ages,411,Esophageal cancer,2,Percent,1998,0.014509053883783544,0.015112788002330967,0.013953183495444187
1,Deaths,8,Taiwan (Province of China),2,Female,22,All ages,411,Esophageal cancer,2,Percent,1998,0.002601486411053866,0.0027836969517939514,0.0024057915802847664
1,Deaths,8,Taiwan (Province of China),1,Male,22,All ages,411,Esophageal cancer,3,Rate,1998,9.724294854745587,10.150867642115772,9.33259797629439
1,Deaths,8,Taiwan (Province of China),2,Female,22,All ages,411,Esophageal cancer,3,Rate,1998,1.1206983502989512,1.2002325448458921,1.032646822253132
1,Deaths,8,Taiwan (Province of China),1,Male,22,All ages,414,Stomach cancer,2,Percent,1998,0.028871152347161134,0.029945751989303025,0.02765848938627878
1,Deaths,8,Taiwan (Province of China),2,Female,22,All ages,414,Stomach cancer,2,Percent,1998,0.021644161824028355,0.02262885451174279,0.020535053658250743
1,Deaths,8,Taiwan (Province of China),1,Male,22,All ages,414,Stomach cancer,3,Rate,1998,19.35005077447589,20.121527359891584,18.533266494262588
1,Deaths,8,Taiwan (Province of China),2,Female,22,All ages,414,Stomach cancer,3,Rate,1998,9.324075524854408,9.78877235574284,8.820870263871251
1,Deaths,6,China,1,Male,22,All ages,411,Esophageal cancer,2,Percent,1992,0.026410073668470563,0.028755075071559277,0.017324926627116228
1,Deaths,6,China,2,Female,22,All ages,411,Esophageal cancer,2,Percent,1992,0.016500363706288095,0.018263846924778712,0.00900919863612919
